trial_number,trial_type,event_code,absolute_time,response_time,response,result
255,0.5003-0.4056-0.3771,4,562.1370361,NA,NA,NA
255,0.5003-0.4056-0.3771,5,562.3790378,0.242001706,1,0
256,0.5003-0.4056-0.3771,6,562.671353,12.77134672,NA,7
256,0.5003-0.4056-0.3771,7,565.6625867,2.991233715,NA,NA
256,0.5797-0.5017-0.1139,3,565.6929978,NA,NA,NA
256,0.5797-0.5017-0.1139,4,565.7096346,NA,NA,NA
256,0.5797-0.5017-0.1139,5,567.1786594,1.469024775,1,1
257,0.5797-0.5017-0.1139,4,567.4791855,NA,NA,NA
257,0.5797-0.5017-0.1139,5,567.6260191,0.146833569,2,0
258,0.5797-0.5017-0.1139,4,567.9299863,NA,NA,NA
258,0.5797-0.5017-0.1139,5,568.1619154,0.231929087,3,0
259,0.5797-0.5017-0.1139,4,568.4642111,NA,NA,NA
259,0.5797-0.5017-0.1139,5,569.082527,0.618315914,1,1
260,0.5797-0.5017-0.1139,4,569.3824196,NA,NA,NA
260,0.5797-0.5017-0.1139,5,569.7703272,0.387907555,1,1
261,0.5797-0.5017-0.1139,4,570.0668593,NA,NA,NA
261,0.5797-0.5017-0.1139,5,570.3618023,0.294942964,1,0
262,0.5797-0.5017-0.1139,4,570.6679497,NA,NA,NA
262,0.5797-0.5017-0.1139,5,571.5300275,0.862077833,2,1
263,0.5797-0.5017-0.1139,4,571.8365659,NA,NA,NA
263,0.5797-0.5017-0.1139,5,572.4508399,0.614274037,2,1
264,0.5797-0.5017-0.1139,4,572.7547176,NA,NA,NA
264,0.5797-0.5017-0.1139,5,573.0266048,0.271887132,2,1
265,0.5797-0.5017-0.1139,4,573.3222172,NA,NA,NA
265,0.5797-0.5017-0.1139,5,573.6279726,0.305755419,2,1
266,0.5797-0.5017-0.1139,4,573.9232642,NA,NA,NA
266,0.5797-0.5017-0.1139,5,574.2426868,0.319422591,2,0
267,0.5797-0.5017-0.1139,4,574.5410168,NA,NA,NA
267,0.5797-0.5017-0.1139,5,575.0361762,0.495159413,3,0
268,0.5797-0.5017-0.1139,4,575.3424368,NA,NA,NA
268,0.5797-0.5017-0.1139,5,575.9456717,0.603234927,2,1
269,0.5797-0.5017-0.1139,4,576.2437243,NA,NA,NA
269,0.5797-0.5017-0.1139,5,576.9382015,0.694477223,2,0
270,0.5797-0.5017-0.1139,4,577.2454682,NA,NA,NA
270,0.5797-0.5017-0.1139,5,577.8259957,0.580527488,1,1
271,0.5797-0.5017-0.1139,4,578.130223,NA,NA,NA
271,0.5797-0.5017-0.1139,5,578.5632909,0.433067838,1,1
272,0.5797-0.5017-0.1139,6,578.8480717,13.15507384,NA,10
272,0.5797-0.5017-0.1139,7,580.4145788,1.566507077,NA,NA
272,0.5586-0.5424-0.6091,3,580.450798,NA,NA,NA
272,0.5586-0.5424-0.6091,4,580.4675286,NA,NA,NA
272,0.5586-0.5424-0.6091,5,582.0832372,1.615708666,1,1
273,0.5586-0.5424-0.6091,4,582.3873014,NA,NA,NA
273,0.5586-0.5424-0.6091,5,582.666179,0.278877523,1,1
274,0.5586-0.5424-0.6091,4,582.9716473,NA,NA,NA
274,0.5586-0.5424-0.6091,5,583.2194277,0.247780418,1,1
275,0.5586-0.5424-0.6091,4,583.5224769,NA,NA,NA
275,0.5586-0.5424-0.6091,5,583.8342303,0.311753374,1,1
276,0.5586-0.5424-0.6091,4,584.1401608,NA,NA,NA
276,0.5586-0.5424-0.6091,5,584.5298343,0.389673471,1,1
277,0.5586-0.5424-0.6091,4,584.8246578,NA,NA,NA
277,0.5586-0.5424-0.6091,5,585.1063079,0.28165013,1,0
278,0.5586-0.5424-0.6091,4,585.4089546,NA,NA,NA
278,0.5586-0.5424-0.6091,5,586.1308249,0.721870297,2,1
279,0.5586-0.5424-0.6091,4,586.427329,NA,NA,NA
279,0.5586-0.5424-0.6091,5,586.7620898,0.334760739,2,1
280,0.5586-0.5424-0.6091,4,587.0616847,NA,NA,NA
280,0.5586-0.5424-0.6091,5,587.3147817,0.253096981,2,1
281,0.5586-0.5424-0.6091,4,587.6126287,NA,NA,NA
281,0.5586-0.5424-0.6091,5,587.9301842,0.317555464,2,1
282,0.5586-0.5424-0.6091,4,588.2303123,NA,NA,NA
282,0.5586-0.5424-0.6091,5,588.5301758,0.299863522,2,0
283,0.5586-0.5424-0.6091,4,588.8313035,NA,NA,NA
283,0.5586-0.5424-0.6091,5,589.5219863,0.690682814,3,1
284,0.5586-0.5424-0.6091,4,589.8163191,NA,NA,NA
284,0.5586-0.5424-0.6091,5,590.0661329,0.249813758,3,0
285,0.5586-0.5424-0.6091,4,590.3671947,NA,NA,NA
285,0.5586-0.5424-0.6091,5,592.5224641,2.155269422,1,1
286,0.5586-0.5424-0.6091,4,592.8212767,NA,NA,NA
286,0.5586-0.5424-0.6091,5,593.505656,0.684379231,1,1
287,0.5586-0.5424-0.6091,4,593.8063885,NA,NA,NA
287,0.5586-0.5424-0.6091,5,594.0980662,0.291677702,1,0
288,0.5586-0.5424-0.6091,6,594.3905328,13.93973478,NA,12
288,0.5586-0.5424-0.6091,7,596.6863593,2.295826492,NA,NA
288,0.3672-0.0943-0.6427,3,596.7110909,NA,NA,NA
288,0.3672-0.0943-0.6427,4,596.7278124,NA,NA,NA
288,0.3672-0.0943-0.6427,5,598.1069382,1.379125875,1,0
289,0.3672-0.0943-0.6427,4,598.4139983,NA,NA,NA
289,0.3672-0.0943-0.6427,5,598.8097324,0.395734148,2,0
290,0.3672-0.0943-0.6427,4,599.1151386,NA,NA,NA
290,0.3672-0.0943-0.6427,5,599.4819042,0.366765606,3,1
291,0.3672-0.0943-0.6427,4,599.7828334,NA,NA,NA
291,0.3672-0.0943-0.6427,5,600.169813,0.386979552,3,1
292,0.3672-0.0943-0.6427,4,600.467384,NA,NA,NA
292,0.3672-0.0943-0.6427,5,600.7552679,0.287883864,3,0
293,0.3672-0.0943-0.6427,4,601.0519768,NA,NA,NA
293,0.3672-0.0943-0.6427,5,602.2118072,1.159830468,1,0
294,0.3672-0.0943-0.6427,4,602.5207113,NA,NA,NA
294,0.3672-0.0943-0.6427,5,602.867042,0.346330707,2,0
295,0.3672-0.0943-0.6427,4,603.1718116,NA,NA,NA
295,0.3672-0.0943-0.6427,5,603.489588,0.317776418,3,1
296,0.3672-0.0943-0.6427,4,603.7895424,NA,NA,NA
296,0.3672-0.0943-0.6427,5,604.3540048,0.564462332,3,1
297,0.3672-0.0943-0.6427,4,604.6576636,NA,NA,NA
297,0.3672-0.0943-0.6427,5,605.026479,0.368815482,3,0
298,0.3672-0.0943-0.6427,4,605.3254049,NA,NA,NA
298,0.3672-0.0943-0.6427,5,606.2992956,0.973890736,2,0
299,0.3672-0.0943-0.6427,4,606.5941319,NA,NA,NA
299,0.3672-0.0943-0.6427,5,607.0586726,0.464540707,1,1
300,0.3672-0.0943-0.6427,4,607.3620877,NA,NA,NA
300,0.3672-0.0943-0.6427,5,608.0908434,0.728755771,1,1
301,0.3672-0.0943-0.6427,4,608.3972495,NA,NA,NA
301,0.3672-0.0943-0.6427,5,608.8584793,0.461229829,1,0
302,0.3672-0.0943-0.6427,4,609.1651026,NA,NA,NA
302,0.3672-0.0943-0.6427,5,609.5700931,0.404990522,3,1
303,0.3672-0.0943-0.6427,4,609.8662161,NA,NA,NA
303,0.3672-0.0943-0.6427,5,610.8674203,1.001204267,3,0
304,0.3672-0.0943-0.6427,6,611.1517929,14.44070199,NA,7
304,0.3672-0.0943-0.6427,7,613.0702956,1.918502741,NA,NA
304,0.7749-0.4079-0.428,3,613.1051059,NA,NA,NA
304,0.7749-0.4079-0.428,4,613.1216871,NA,NA,NA
304,0.7749-0.4079-0.428,5,615.6337142,2.512027128,1,1
305,0.7749-0.4079-0.428,4,615.9263775,NA,NA,NA
305,0.7749-0.4079-0.428,5,616.155339,0.228961471,2,0
306,0.7749-0.4079-0.428,4,616.4605251,NA,NA,NA
306,0.7749-0.4079-0.428,5,616.8187602,0.358235099,3,1
307,0.7749-0.4079-0.428,4,617.1115994,NA,NA,NA
307,0.7749-0.4079-0.428,5,617.6981944,0.586595008,1,0
308,0.7749-0.4079-0.428,4,617.9964066,NA,NA,NA
308,0.7749-0.4079-0.428,5,618.5467125,0.550305928,3,1
309,0.7749-0.4079-0.428,4,618.8478425,NA,NA,NA
309,0.7749-0.4079-0.428,5,619.2656443,0.41780182,1,1
310,0.7749-0.4079-0.428,4,619.5657407,NA,NA,NA
310,0.7749-0.4079-0.428,5,619.9858923,0.420151622,3,1
311,0.7749-0.4079-0.428,4,620.283635,NA,NA,NA
311,0.7749-0.4079-0.428,5,620.7301154,0.446480414,1,1
312,0.7749-0.4079-0.428,4,621.0347818,NA,NA,NA
312,0.7749-0.4079-0.428,5,621.5455433,0.510761565,3,0
313,0.7749-0.4079-0.428,4,621.8528237,NA,NA,NA
313,0.7749-0.4079-0.428,5,622.3305948,0.477771103,1,1
314,0.7749-0.4079-0.428,4,622.6375562,NA,NA,NA
314,0.7749-0.4079-0.428,5,623.1055983,0.468042032,1,1
315,0.7749-0.4079-0.428,4,623.4053911,NA,NA,NA
315,0.7749-0.4079-0.428,5,623.8816674,0.476276319,1,1
316,0.7749-0.4079-0.428,4,624.1900261,NA,NA,NA
316,0.7749-0.4079-0.428,5,624.4976982,0.307672153,1,1
317,0.7749-0.4079-0.428,4,624.7910421,NA,NA,NA
317,0.7749-0.4079-0.428,5,625.0896104,0.298568308,1,1
318,0.7749-0.4079-0.428,4,625.3920652,NA,NA,NA
318,0.7749-0.4079-0.428,5,625.6657479,0.273682698,1,0
319,0.7749-0.4079-0.428,4,625.9596995,NA,NA,NA
319,0.7749-0.4079-0.428,5,626.9941018,1.034402281,2,1
320,0.7749-0.4079-0.428,6,627.2786842,14.17357832,NA,12
320,0.7749-0.4079-0.428,7,628.8062625,1.527578247,NA,NA
NA,NA,8,628.811477,NA,NA,5
NA,NA,9,632.1181105,3.30663353,NA,186
NA,NA,99,632.1232489,NA,NA,NA
